phenotype	oe_bin	rate_ratio	ci_95_lower	ci_95_upper	p_value
DD	0-0.2	11.87290139	7.009880379	20.1095853	0
DD	0.2-0.4	4.899810911	3.749857984	6.402414989	0
DD	0.4-0.6	2.046739143	1.763207147	2.375864417	4.44E-181
DD	0.6-0.8	1.241597433	1.137192607	1.35558759	5.64E-33
DD	0.8-1.0+	1.089613617	1.058648891	1.121484038	6.05E-19
AUT	0-0.2	3.339489986	1.925043019	5.79321774	5.36E-30
AUT	0.2-0.4	2.17161721	1.634766185	2.884768078	5.75E-35
AUT	0.4-0.6	1.416631025	1.206639669	1.66316715	1.04E-17
AUT	0.6-0.8	1.119931102	1.018802918	1.231097448	2.48E-05
AUT	0.8-1.0+	1.035142138	1.003390126	1.067898934	0.01425347747
