phenotype	oe_bin	rate_ratio	ci_95_lower	ci_95_upper	p_value
DD	0-0.2	1.626840106	0.6467067002	4.092440558	0.001819879674
DD	0.2-0.4	1.302961183	0.8075926449	2.10218339	0.002699186282
DD	0.4-0.6	0.8099271057	0.6379653937	1.028240596	3.33E-05
DD	0.6-0.8	1.043299633	0.8970143284	1.213441179	0.1628955602
DD	0.8-1.0+	1.113567825	1.049572609	1.181464999	6.78E-15
AUT	0-0.2	1.241872839	0.4583855718	3.364521577	0.3426372971
AUT	0.2-0.4	1.557147058	0.9457239909	2.563863222	0.0001707485956
AUT	0.4-0.6	0.8522656735	0.6581579922	1.103620691	0.02770499173
AUT	0.6-0.8	1.049632461	0.8924968868	1.234433777	0.2652278787
AUT	0.8-1.0+	1.083701417	1.016990483	1.154788348	5.86E-05
