n	nth_percentile
1	0.189402681
2	0.3071152915
3	0.3834725328
4	0.4367461528
5	0.4817017465
6	0.5184806386
7	0.5527641112
8	0.5824139665
9	0.6079132376
10	0.630201826
11	0.6515070721
12	0.6712566267
13	0.6873656333
14	0.7021248474
15	0.7162438329
16	0.729102366
17	0.7413931726
18	0.7521693271
19	0.7635829484
20	0.7739960454
21	0.7837371558
22	0.7935042704
23	0.8022630284
24	0.8087209654
25	0.8151664644
26	0.8224932851
27	0.8287355631
28	0.8349287038
29	0.8415362255
30	0.8469893818
31	0.8524896579
32	0.8569992493
33	0.8625878038
34	0.8671762495
35	0.8714808352
36	0.8760335422
37	0.8801036328
38	0.8837666212
39	0.8871133302
40	0.8906050203
41	0.8939105703
42	0.8969434993
43	0.9006291321
44	0.9039318151
45	0.9075509054
46	0.9109900614
47	0.9140625687
48	0.9172306414
49	0.9207635993
50	0.9237553819
51	0.9272426258
52	0.930870085
53	0.9343164851
54	0.9375961975
55	0.9405772554
56	0.9437943707
57	0.9464748098
58	0.9501363607
59	0.9528678626
60	0.9562922099
61	0.9592490848
62	0.9625400822
63	0.9658163752
64	0.969077747
65	0.9717548357
66	0.9746019851
67	0.9774197871
68	0.980370633
69	0.9837810532
70	0.9870447093
71	0.9904870839
72	0.9942830394
73	0.997328553
74	1.000468619
75	1.003867631
76	1.007342713
77	1.011476113
78	1.014771743
79	1.018943866
80	1.023033184
81	1.027116641
82	1.030438518
83	1.034395129
84	1.038944061
85	1.044162647
86	1.049268866
87	1.055021811
88	1.061696444
89	1.069273382
90	1.077086259
91	1.085161258
92	1.093438219
93	1.102780811
94	1.113978662
95	1.129610904
96	1.145509181
97	1.168430512
98	1.201424837
99	1.268214941
100	4.807298538
